icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps,icd_description
C9202,2109,149,0.350487,0.002352261703286395,0.350487,0.002352261703286395,logit,pad,32,"Acute myeloblastic leukemia, in relapse"
K7031,10709,2243,4.251525,0.0018954636314007728,4.251525,0.0018954636314007728,logit,pad,32,"Alcoholic cirrhosis of liver with ascites"
C9102,2082,50,0.09239687,0.0018479374051094055,0.09239687,0.0018479374051094055,logit,pad,32,"Acute lymphoblastic leukemia, in relapse"
K7011,10706,541,0.96841764,0.0017900510988922964,0.96841764,0.0017900510988922964,logit,pad,32,"Alcoholic hepatitis with ascites"
C9200,2107,726,1.2668402,0.0017449589800243536,1.2668402,0.0017449589800243536,logit,pad,32,"Acute myeloblastic leukemia, not having achieved remission"
C9310,2140,70,0.117717795,0.0016816827867712294,0.117717795,0.0016816827867712294,logit,pad,32,"Chronic myelomonocytic leukemia not having achieved remission"
C719,1584,317,0.5219332,0.0016464769652213209,0.5219332,0.0016464769652213209,logit,pad,32,"Malignant neoplasm of brain, unspecified"
C3401,1152,108,0.17443094,0.00161510126458274,0.17443094,0.00161510126458274,logit,pad,32,"Malignant neoplasm of right main bronchus"
J84112,9998,367,0.57009065,0.0015533805218314605,0.57009065,0.0015533805218314605,logit,pad,32,"Idiopathic pulmonary fibrosis"
C3402,1153,52,0.07951128,0.0015290630264924122,0.07951128,0.0015290630264924122,logit,pad,32,"Malignant neoplasm of left main bronchus"
