icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps
Z370,53452,32592,28.069761,0.0008612469709206283,-28.069761,-0.0008612469709206283,logit,pad,32
U071,49112,20910,27.442694,0.0013124195939898207,27.442694,0.0013124195939898207,logit,pad,32
E785,3751,102127,16.070843,0.00015736135148315257,-16.070843,-0.00015736135148315257,logit,pad,32
N179,17634,50588,9.915911,0.00019601310035631365,9.915911,0.00019601310035631365,logit,pad,32
E871,3819,32275,9.536264,0.0002954690757414613,9.536264,0.0002954690757414613,logit,pad,32
Z66,53765,21197,8.7579565,0.00041316962328734146,8.7579565,0.00041316962328734146,logit,pad,32
J9601,10072,28412,7.908132,0.00027833774729914924,7.908132,0.00027833774729914924,logit,pad,32
N186,17643,9845,7.8689003,0.0007992788521150093,7.8689003,0.0007992788521150093,logit,pad,32
Z3A39,53523,12901,7.7594004,0.0006014572798803827,-7.7594004,-0.0006014572798803827,logit,pad,32
Z20822,53326,144646,7.018262,4.852026263764545e-05,7.018262,4.852026263764545e-05,logit,pad,32
I10,8393,94418,6.834049,7.238078782492232e-05,6.834049,7.238078782492232e-05,logit,pad,32
J449,9917,24933,6.308179,0.00025300521002977433,6.308179,0.00025300521002977433,logit,pad,32
F17210,4211,36586,6.232506,0.00017035220571638997,6.232506,0.00017035220571638997,logit,pad,32
E43,3519,10902,6.0840383,0.0005580662500090696,6.0840383,0.0005580662500090696,logit,pad,32
D649,2799,26726,5.9831557,0.00022387022851853904,5.9831557,0.00022387022851853904,logit,pad,32
N390,17751,22336,5.658311,0.00025332695604395386,5.658311,0.00025332695604395386,logit,pad,32
I5023,8622,6076,5.3250647,0.0008764095884000416,5.3250647,0.0008764095884000416,logit,pad,32
C787,1646,3728,4.886517,0.0013107610106979828,4.886517,0.0013107610106979828,logit,pad,32
I509,8640,8227,4.786277,0.0005817766886254743,4.786277,0.0005817766886254743,logit,pad,32
E876,3824,31365,4.738319,0.00015107026686228273,4.738319,0.00015107026686228273,logit,pad,32
