icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps
C9202,2109,149,0.350487,0.002352261703286395,0.350487,0.002352261703286395,logit,pad,32
K7031,10709,2243,4.251525,0.0018954636314007728,4.251525,0.0018954636314007728,logit,pad,32
C9102,2082,50,0.09239687,0.0018479374051094055,0.09239687,0.0018479374051094055,logit,pad,32
K7011,10706,541,0.96841764,0.0017900510988922964,0.96841764,0.0017900510988922964,logit,pad,32
C9200,2107,726,1.2668402,0.0017449589800243536,1.2668402,0.0017449589800243536,logit,pad,32
C9310,2140,70,0.117717795,0.0016816827867712294,0.117717795,0.0016816827867712294,logit,pad,32
C719,1584,317,0.5219332,0.0016464769652213209,0.5219332,0.0016464769652213209,logit,pad,32
C3401,1152,108,0.17443094,0.00161510126458274,0.17443094,0.00161510126458274,logit,pad,32
J84112,9998,367,0.57009065,0.0015533805218314605,0.57009065,0.0015533805218314605,logit,pad,32
C3402,1153,52,0.07951128,0.0015290630264924122,0.07951128,0.0015290630264924122,logit,pad,32
C169,1089,262,0.3875816,0.001479319033731941,0.3875816,0.001479319033731941,logit,pad,32
D619,2787,74,0.105323486,0.0014232903517581322,0.105323486,0.0014232903517581322,logit,pad,32
J910,10024,1073,1.5111804,0.0014083694322911359,1.5111804,0.0014083694322911359,logit,pad,32
C8310,1875,99,0.13914591,0.0014055142498979665,0.13914591,0.0014055142498979665,logit,pad,32
C3490,1164,1364,1.8752351,0.0013748057776532215,1.8752351,0.0013748057776532215,logit,pad,32
C7931,1656,1997,2.7276926,0.0013658951447495951,2.7276926,0.0013658951447495951,logit,pad,32
C159,1080,267,0.35473657,0.0013286013728223936,0.35473657,0.0013286013728223936,logit,pad,32
R180,21472,631,0.83628225,0.0013253284520845972,0.83628225,0.0013253284520845972,logit,pad,32
C240,1121,64,0.08453555,0.0013208679156377912,0.08453555,0.0013208679156377912,logit,pad,32
C55,1478,131,0.17239231,0.0013159718222290505,0.17239231,0.0013159718222290505,logit,pad,32
