icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps
Z370,53452,32552,43.524853,0.0013370868995049628,-43.524853,-0.0013370868995049628,logit,pad,32
E785,3751,105928,38.957733,0.0003677755943121448,-38.957733,-0.0003677755943121448,logit,pad,32
Z23,53349,16948,35.614395,0.002101392208024638,-35.614395,-0.002101392208024638,logit,pad,32
I10,8393,96952,30.887531,0.0003185858082403414,-30.887531,-0.0003185858082403414,logit,pad,32
J9601,10072,33470,28.570694,0.0008536209731020783,28.570694,0.0008536209731020783,logit,pad,32
Z3A39,53523,12886,22.273056,0.0017284693489270089,-22.273056,-0.0017284693489270089,logit,pad,32
Z20822,53326,148036,22.259624,0.0001503662925315543,22.259624,0.0001503662925315543,logit,pad,32
U071,49112,23844,20.859646,0.0008748383594827151,20.859646,0.0008748383594827151,logit,pad,32
Z87891,54116,65660,17.01844,0.0002591903784127632,-17.01844,-0.0002591903784127632,logit,pad,32
K219,10311,59080,16.85056,0.0002852159653794709,-16.85056,-0.0002852159653794709,logit,pad,32
Z7982,53923,54060,15.743826,0.00029122874421893424,-15.743826,-0.00029122874421893424,logit,pad,32
Z66,53765,28038,15.512863,0.0005532799471852374,15.512863,0.0005532799471852374,logit,pad,32
Z515,53635,12734,15.1334305,0.0011884270834739306,15.1334305,0.0011884270834739306,logit,pad,32
F17210,4211,37213,15.060432,0.00040470890371864754,-15.060432,-0.00040470890371864754,logit,pad,32
F419,4434,41312,12.188835,0.00029504345333179147,-12.188835,-0.00029504345333179147,logit,pad,32
Z3A38,53522,5906,11.250239,0.0019048830633683403,-11.250239,-0.0019048830633683403,logit,pad,32
G4733,4931,25612,10.328875,0.000403282624863841,-10.328875,-0.000403282624863841,logit,pad,32
Z3800,53469,9179,9.615353,0.0010475381447450959,-9.615353,-0.0010475381447450959,logit,pad,32
D62,2788,25056,9.463468,0.0003776926723324324,-9.463468,-0.0003776926723324324,logit,pad,32
O700,19708,5857,9.106422,0.0015547929698337727,-9.106422,-0.0015547929698337727,logit,pad,32
