icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps
K3580,10405,440,1.9910326,0.004525074091824619,-1.9910326,-0.004525074091824619,logit,pad,32
J210,9845,274,1.2033303,0.004391716344513162,-1.2033303,-0.004391716344513162,logit,pad,32
G454,4898,65,0.28154826,0.004331511717576247,-0.28154826,-0.004331511717576247,logit,pad,32
O1415,18447,406,1.5893381,0.003914625773876171,-1.5893381,-0.003914625773876171,logit,pad,32
J4542,9926,64,0.23545519,0.003678987268358469,-0.23545519,-0.003678987268358469,logit,pad,32
K3530,10401,61,0.2209405,0.0036219754179970163,-0.2209405,-0.0036219754179970163,logit,pad,32
Z390,53487,65,0.23391767,0.0035987333609507634,-0.23391767,-0.0035987333609507634,logit,pad,32
Z2882,53361,770,2.7414398,0.0035603114536830356,-2.7414398,-0.0035603114536830356,logit,pad,32
O1495,18457,157,0.54092187,0.003445362209514448,-0.54092187,-0.003445362209514448,logit,pad,32
W540XXA,51645,192,0.6613718,0.0034446449329455695,-0.6613718,-0.0034446449329455695,logit,pad,32
Z412,53536,392,1.344549,0.0034299717873943095,-1.344549,-0.0034299717873943095,logit,pad,32
K3533,10404,381,1.3016076,0.003416292936470252,-1.3016076,-0.003416292936470252,logit,pad,32
J0390,9771,64,0.214461,0.0033509531058371067,-0.214461,-0.0033509531058371067,logit,pad,32
W312XXA,51483,67,0.22277862,0.0033250540050108043,-0.22277862,-0.0033250540050108043,logit,pad,32
Q825,21242,366,1.2043778,0.0032906496459669103,-1.2043778,-0.0032906496459669103,logit,pad,32
K3532,10403,305,1.0035659,0.003290380024519123,-1.0035659,-0.003290380024519123,logit,pad,32
Z421,53540,121,0.39688078,0.0032800064106618078,-0.39688078,-0.0032800064106618078,logit,pad,32
W5501XA,51654,102,0.3321231,0.0032561088309568517,-0.3321231,-0.0032561088309568517,logit,pad,32
H81399,8179,87,0.27556506,0.00316741445968891,-0.27556506,-0.00316741445968891,logit,pad,32
J218,9847,90,0.28443626,0.003160402841038174,-0.28443626,-0.003160402841038174,logit,pad,32
