icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps,icd_description
Z390,53487,65,0.13757783,0.0021165820268484264,-0.13757783,-0.0021165820268484264,logit,pad,32,"Encounter for care and examination of mother immediately after delivery"
G454,4898,64,0.10201624,0.0015940037555992603,-0.10201624,-0.0015940037555992603,logit,pad,32,"Transient global amnesia"
Z371,53453,258,0.37437388,0.0014510615620502206,-0.37437388,-0.0014510615620502206,logit,pad,32,"Single stillbirth"
Z524,53655,85,0.110470265,0.00129965017823612,-0.110470265,-0.00129965017823612,logit,pad,32,"Kidney donor"
Z372,53454,597,0.7737116,0.0012959993664343752,-0.7737116,-0.0012959993664343752,logit,pad,32,"Twins, both liveborn"
O021,18238,64,0.08288251,0.0012950391974300146,-0.08288251,-0.0012950391974300146,logit,pad,32,"Missed abortion"
Z370,53452,32592,41.77791,0.0012818454935320113,-41.77791,-0.0012818454935320113,logit,pad,32,"Single live birth"
M1612,12854,1326,1.6226274,0.0012237008880166447,-1.6226274,-0.0012237008880166447,logit,pad,32,"Unilateral primary osteoarthritis, left hip"
A481,269,110,0.13373312,0.001215755668553439,-0.13373312,-0.001215755668553439,logit,pad,32,"Legionnaires' disease"
H81399,8179,86,0.10269661,0.0011941466567128203,-0.10269661,-0.0011941466567128203,logit,pad,32,"Other peripheral vertigo, unspecified ear"
