icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps
Z370,53452,32592,41.77791,0.0012818454935320113,-41.77791,-0.0012818454935320113,logit,pad,32
Z20822,53326,144646,21.099129,0.0001458673501040093,21.099129,0.0001458673501040093,logit,pad,32
E785,3751,102127,13.525642,0.00013243943712259765,-13.525642,-0.00013243943712259765,logit,pad,32
Z3800,53469,9192,9.070892,0.0009868246664473863,-9.070892,-0.0009868246664473863,logit,pad,32
N179,17634,50588,6.9262414,0.00013691471095630714,6.9262414,0.00013691471095630714,logit,pad,32
E871,3819,32275,6.9159284,0.00021428128160495892,6.9159284,0.00021428128160495892,logit,pad,32
O701,19709,7210,6.1998205,0.000859891888834071,-6.1998205,-0.000859891888834071,logit,pad,32
Z3801,53470,4682,5.5433297,0.0011839661930219479,-5.5433297,-0.0011839661930219479,logit,pad,32
Z7982,53923,52819,5.139744,9.730861631101764e-05,-5.139744,-9.730861631101764e-05,logit,pad,32
O700,19708,5864,4.964058,0.0008465310235953754,-4.964058,-0.0008465310235953754,logit,pad,32
J449,9917,24933,4.9468155,0.00019840434326886682,4.9468155,0.00019840434326886682,logit,pad,32
Z87891,54116,63892,4.8700523,7.622319441630383e-05,-4.8700523,-7.622319441630383e-05,logit,pad,32
Z515,53635,6934,4.0666056,0.0005864732575615992,-4.0666056,-0.0005864732575615992,logit,pad,32
U071,49112,20910,4.0434,0.00019337158349072288,4.0434,0.00019337158349072288,logit,pad,32
E6601,3575,22394,3.642986,0.00016267688037817463,-3.642986,-0.00016267688037817463,logit,pad,32
N186,17643,9845,3.623477,0.00036805251214999484,3.623477,0.00036805251214999484,logit,pad,32
G4733,4931,24901,3.5819645,0.00014384821865779895,-3.5819645,-0.00014384821865779895,logit,pad,32
J9601,10072,28412,3.3294415,0.00011718434279155986,3.3294415,0.00011718434279155986,logit,pad,32
E43,3519,10902,3.2517033,0.00029826667238388386,3.2517033,0.00029826667238388386,logit,pad,32
D649,2799,26726,3.2210064,0.00012051958368003507,3.2210064,0.00012051958368003507,logit,pad,32
