icd_code,code_id,support_eval,ig_absolute_total,ig_absolute_mean,ig_signed_total,ig_signed_mean,target,baseline,steps
Z390,53487,65,0.13757783,0.0021165820268484264,-0.13757783,-0.0021165820268484264,logit,pad,32
G454,4898,64,0.10201624,0.0015940037555992603,-0.10201624,-0.0015940037555992603,logit,pad,32
Z371,53453,258,0.37437388,0.0014510615620502206,-0.37437388,-0.0014510615620502206,logit,pad,32
C9202,2109,149,0.20828517,0.0013978870323040342,0.20828517,0.0013978870323040342,logit,pad,32
D5700,2720,644,0.89011407,0.0013821647033928344,0.89011407,0.0013821647033928344,logit,pad,32
D57219,2731,140,0.18281339,0.0013058099363531385,0.18281339,0.0013058099363531385,logit,pad,32
Z524,53655,85,0.110470265,0.00129965017823612,-0.110470265,-0.00129965017823612,logit,pad,32
Z372,53454,597,0.7737116,0.0012959993664343752,-0.7737116,-0.0012959993664343752,logit,pad,32
O021,18238,64,0.08288251,0.0012950391974300146,-0.08288251,-0.0012950391974300146,logit,pad,32
O471,19530,54,0.06987993,0.0012940727174282074,0.06987993,0.0012940727174282074,logit,pad,32
Z370,53452,32592,41.77791,0.0012818454935320113,-41.77791,-0.0012818454935320113,logit,pad,32
O1403,18440,51,0.06461443,0.0012669496092141844,0.06461443,0.0012669496092141844,logit,pad,32
C9102,2082,50,0.062729806,0.0012545961141586304,0.062729806,0.0012545961141586304,logit,pad,32
M1612,12854,1326,1.6226274,0.0012237008880166447,-1.6226274,-0.0012237008880166447,logit,pad,32
A481,269,110,0.13373312,0.001215755668553439,-0.13373312,-0.001215755668553439,logit,pad,32
O10913,18404,111,0.13379714,0.001205379629994298,0.13379714,0.001205379629994298,logit,pad,32
H81399,8179,86,0.10269661,0.0011941466567128203,-0.10269661,-0.0011941466567128203,logit,pad,32
M1611,12853,1594,1.9028115,0.0011937337059298603,-1.9028115,-0.0011937337059298603,logit,pad,32
C9200,2107,726,0.86272025,0.0011883199050735178,0.86272025,0.0011883199050735178,logit,pad,32
Z3801,53470,4682,5.5433297,0.0011839661930219479,-5.5433297,-0.0011839661930219479,logit,pad,32
